[17/Jul/2022 04:26:45] INFO [django.utils.autoreload:643] Watching for file changes with StatReloader
[17/Jul/2022 04:26:45] DEBUG [django.utils.autoreload:321] Waiting for apps ready_event.
[17/Jul/2022 04:26:45] DEBUG [django.utils.autoreload:333] Apps ready_event triggered. Sending autoreload_started signal.
[17/Jul/2022 04:26:46] DEBUG [django.utils.autoreload:287] Watching dir /app/base/templates with glob **/*.
[17/Jul/2022 04:26:46] DEBUG [django.utils.autoreload:287] Watching dir /app/locale with glob **/*.mo.
[17/Jul/2022 04:26:46] DEBUG [django.utils.autoreload:287] Watching dir /app/base/locale with glob **/*.mo.
[17/Jul/2022 04:26:46] DEBUG [django.utils.autoreload:385] File /usr/local/lib/python3.8/site-packages/django/contrib/admin/exceptions.py first seen with mtime 1658031709.1172397
[17/Jul/2022 04:26:46] DEBUG [django.utils.autoreload:385] File /usr/local/lib/python3.8/wsgiref/simple_server.py first seen with mtime 1657629599.0
[17/Jul/2022 04:26:46] DEBUG [django.utils.autoreload:385] File /usr/local/lib/python3.8/site-packages/sqlparse/engine/__init__.py first seen with mtime 1658031708.7252398
[17/Jul/2022 04:26:46] DEBUG [django.utils.autoreload:385] File /usr/local/lib/python3.8/mimetypes.py first seen with mtime 1657629597.0
[17/Jul/2022 04:26:46] DEBUG [django.utils.autoreload:385] File /usr/local/lib/python3.8/site-packages/django/views/debug.py first seen with mtime 1658031710.0072396
[17/Jul/2022 04:26:46] DEBUG [django.utils.autoreload:385] File /usr/local/lib/python3.8/contextlib.py first seen with mtime 1657629597.0
[17/Jul/2022 04:26:46] DEBUG [django.utils.autoreload:385] File /usr/local/lib/python3.8/weakref.py first seen with mtime 1657629597.0
[17/Jul/2022 04:26:46] DEBUG [django.utils.autoreload:385] File /usr/local/lib/python3.8/site-packages/sqlparse/keywords.py first seen with mtime 1658031708.7242396
[17/Jul/2022 04:26:46] DEBUG [django.utils.autoreload:385] File /usr/local/lib/python3.8/site-packages/django/contrib/staticfiles/finders.py first seen with mtime 1658031709.8912396
[17/Jul/2022 04:26:46] DEBUG [django.utils.autoreload:385] File /usr/local/lib/python3.8/site-packages/django/utils/formats.py first seen with mtime 1658031710.0002396
[17/Jul/2022 04:26:46] DEBUG [django.utils.autoreload:385] File /usr/local/lib/python3.8/site-packages/django/middleware/cache.py first seen with mtime 1658031709.9802396
[17/Jul/2022 04:26:46] DEBUG [django.utils.autoreload:385] File /usr/local/lib/python3.8/importlib/abc.py first seen with mtime 1657629598.0
[17/Jul/2022 04:26:46] DEBUG [django.utils.autoreload:385] File /usr/local/lib/python3.8/lib-dynload/_lzma.cpython-38-x86_64-linux-gnu.so first seen with mtime 1657629585.0
[17/Jul/2022 04:26:46] DEBUG [django.utils.autoreload:385] File /usr/local/lib/python3.8/site-packages/django/core/checks/caches.py first seen with mtime 1658031709.9002397
[17/Jul/2022 04:26:46] DEBUG [django.utils.autoreload:385] File /usr/local/lib/python3.8/unittest/util.py first seen with mtime 1657629599.0
[17/Jul/2022 04:26:46] DEBUG [django.utils.autoreload:385] File /usr/local/lib/python3.8/site-packages/django/utils/asyncio.py first seen with mtime 1658031709.9952397
[17/Jul/2022 04:26:46] DEBUG [django.utils.autoreload:385] File /usr/local/lib/python3.8/sre_constants.py first seen with mtime 1657629597.0
[17/Jul/2022 04:26:46] DEBUG [django.utils.autoreload:385] File /usr/local/lib/python3.8/site.py first seen with mtime 1657629597.0
[17/Jul/2022 04:26:46] DEBUG [django.utils.autoreload:385] File /usr/local/lib/python3.8/site-packages/django/template/autoreload.py first seen with mtime 1658031709.9822397
[17/Jul/2022 04:26:46] DEBUG [django.utils.autoreload:385] File /usr/local/lib/python3.8/site-packages/django/core/checks/files.py first seen with mtime 1658031709.9002397
[17/Jul/2022 04:26:46] DEBUG [django.utils.autoreload:385] File /usr/local/lib/python3.8/posixpath.py first seen with mtime 1657629597.0
[17/Jul/2022 04:26:46] DEBUG [django.utils.autoreload:385] File /usr/local/lib/python3.8/site-packages/django/middleware/common.py first seen with mtime 1658031709.9802396
[17/Jul/2022 04:26:46] DEBUG [django.utils.autoreload:385] File /usr/local/lib/python3.8/encodings/__init__.py first seen with mtime 1657629598.0
[17/Jul/2022 04:26:46] DEBUG [django.utils.autoreload:385] File /usr/local/lib/python3.8/site-packages/django/core/signing.py first seen with mtime 1658031709.8962395
[17/Jul/2022 04:26:46] DEBUG [django.utils.autoreload:385] File /usr/local/lib/python3.8/site-packages/django/db/backends/base/features.py first seen with mtime 1658031709.9232397
[17/Jul/2022 04:26:46] DEBUG [django.utils.autoreload:385] File /usr/local/lib/python3.8/site-packages/django/db/utils.py first seen with mtime 1658031709.9202397
[17/Jul/2022 04:26:46] DEBUG [django.utils.autoreload:385] File /usr/local/lib/python3.8/email/contentmanager.py first seen with mtime 1657629599.0
[17/Jul/2022 04:26:46] DEBUG [django.utils.autoreload:385] File /usr/local/lib/python3.8/site-packages/django/db/models/fields/json.py first seen with mtime 1658031709.9492397
[17/Jul/2022 04:26:46] DEBUG [django.utils.autoreload:385] File /usr/local/lib/python3.8/email/encoders.py first seen with mtime 1657629599.0
[17/Jul/2022 04:26:46] DEBUG [django.utils.autoreload:385] File /usr/local/lib/python3.8/site-packages/django/test/signals.py first seen with mtime 1658031709.9922397
[17/Jul/2022 04:26:46] DEBUG [django.utils.autoreload:385] File /usr/local/lib/python3.8/site-packages/django/contrib/staticfiles/__init__.py first seen with mtime 1658031709.8912396
[17/Jul/2022 04:26:46] DEBUG [django.utils.autoreload:385] File /usr/local/lib/python3.8/site-packages/django/contrib/messages/middleware.py first seen with mtime 1658031709.6812396
[17/Jul/2022 04:26:46] DEBUG [django.utils.autoreload:385] File /app/base/apps.py first seen with mtime 1657453758.3349133
[17/Jul/2022 04:26:46] DEBUG [django.utils.autoreload:385] File /usr/local/lib/python3.8/site-packages/django/core/mail/__init__.py first seen with mtime 1658031709.9072397
[17/Jul/2022 04:26:46] DEBUG [django.utils.autoreload:385] File /usr/local/lib/python3.8/site-packages/django/utils/__init__.py first seen with mtime 1658031709.9952397
[17/Jul/2022 04:26:46] DEBUG [django.utils.autoreload:385] File /usr/local/lib/python3.8/logging/__init__.py first seen with mtime 1657629599.0
[17/Jul/2022 04:26:46] DEBUG [django.utils.autoreload:385] File /usr/local/lib/python3.8/site-packages/django/contrib/contenttypes/management/__init__.py first seen with mtime 1658031709.4842396
[17/Jul/2022 04:26:46] DEBUG [django.utils.autoreload:385] File /usr/local/lib/python3.8/site-packages/django/db/models/fields/related_lookups.py first seen with mtime 1658031709.9512396
[17/Jul/2022 04:26:46] DEBUG [django.utils.autoreload:385] File /usr/local/lib/python3.8/struct.py first seen with mtime 1657629597.0
[17/Jul/2022 04:26:46] DEBUG [django.utils.autoreload:385] File /usr/local/lib/python3.8/site-packages/django/core/paginator.py first seen with mtime 1658031709.8962395
[17/Jul/2022 04:26:46] DEBUG [django.utils.autoreload:385] File /usr/local/lib/python3.8/site-packages/django/core/checks/security/__init__.py first seen with mtime 1658031709.9022396
[17/Jul/2022 04:26:46] DEBUG [django.utils.autoreload:385] File /usr/local/lib/python3.8/asyncio/format_helpers.py first seen with mtime 1657629598.0
[17/Jul/2022 04:26:46] DEBUG [django.utils.autoreload:385] File /usr/local/lib/python3.8/site-packages/django/db/models/constraints.py first seen with mtime 1658031709.9442396
[17/Jul/2022 04:26:46] DEBUG [django.utils.autoreload:385] File /usr/local/lib/python3.8/lib-dynload/_sha3.cpython-38-x86_64-linux-gnu.so first seen with mtime 1657629588.0
[17/Jul/2022 04:26:46] DEBUG [django.utils.autoreload:385] File /usr/local/lib/python3.8/site-packages/django/http/response.py first seen with mtime 1658031709.9802396
[17/Jul/2022 04:26:46] DEBUG [django.utils.autoreload:385] File /usr/local/lib/python3.8/asyncio/protocols.py first seen with mtime 1657629598.0
[17/Jul/2022 04:26:46] DEBUG [django.utils.autoreload:385] File /usr/local/lib/python3.8/site-packages/django/core/mail/message.py first seen with mtime 1658031709.9072397
[17/Jul/2022 04:26:46] DEBUG [django.utils.autoreload:385] File /usr/local/lib/python3.8/http/client.py first seen with mtime 1657629599.0
[17/Jul/2022 04:26:46] DEBUG [django.utils.autoreload:385] File /usr/local/lib/python3.8/site-packages/django/contrib/contenttypes/fields.py first seen with mtime 1658031709.4282396
[17/Jul/2022 04:26:46] DEBUG [django.utils.autoreload:385] File /usr/local/lib/python3.8/json/__init__.py first seen with mtime 1657629599.0
[17/Jul/2022 04:26:46] DEBUG [django.utils.autoreload:385] File /usr/local/lib/python3.8/site-packages/django/views/decorators/__init__.py first seen with mtime 1658031710.0082397
[17/Jul/2022 04:26:46] DEBUG [django.utils.autoreload:385] File /usr/local/lib/python3.8/site-packages/django/core/exceptions.py first seen with mtime 1658031709.8962395
[17/Jul/2022 04:26:46] DEBUG [django.utils.autoreload:385] File /usr/local/lib/python3.8/email/_parseaddr.py first seen with mtime 1657629599.0
[17/Jul/2022 04:26:46] DEBUG [django.utils.autoreload:385] File /usr/local/lib/python3.8/calendar.py first seen with mtime 1657629597.0
[17/Jul/2022 04:26:46] DEBUG [django.utils.autoreload:385] File /usr/local/lib/python3.8/site-packages/backports/zoneinfo/_common.py first seen with mtime 1658031708.8732398
[17/Jul/2022 04:26:46] DEBUG [django.utils.autoreload:385] File /usr/local/lib/python3.8/lib-dynload/_bz2.cpython-38-x86_64-linux-gnu.so first seen with mtime 1657629584.0
[17/Jul/2022 04:26:46] DEBUG [django.utils.autoreload:385] File /app/base/templatetags/settings_value.py first seen with mtime 1657465723.0460482
[17/Jul/2022 04:26:46] DEBUG [django.utils.autoreload:385] File /usr/local/lib/python3.8/site-packages/django/db/models/functions/datetime.py first seen with mtime 1658031709.9522395
[17/Jul/2022 04:26:46] DEBUG [django.utils.autoreload:385] File /usr/local/lib/python3.8/site-packages/django/utils/log.py first seen with mtime 1658031710.0022397
[17/Jul/2022 04:26:46] DEBUG [django.utils.autoreload:385] File /usr/local/lib/python3.8/genericpath.py first seen with mtime 1657629597.0
[17/Jul/2022 04:26:46] DEBUG [django.utils.autoreload:385] File /usr/local/lib/python3.8/html/__init__.py first seen with mtime 1657629599.0
[17/Jul/2022 04:26:46] DEBUG [django.utils.autoreload:385] File /usr/local/lib/python3.8/codecs.py first seen with mtime 1657629597.0
[17/Jul/2022 04:26:46] DEBUG [django.utils.autoreload:385] File /usr/local/lib/python3.8/lib-dynload/fcntl.cpython-38-x86_64-linux-gnu.so first seen with mtime 1657629580.0
[17/Jul/2022 04:26:46] DEBUG [django.utils.autoreload:385] File /usr/local/lib/python3.8/xml/dom/domreg.py first seen with mtime 1657629599.0
[17/Jul/2022 04:26:46] DEBUG [django.utils.autoreload:385] File /usr/local/lib/python3.8/site-packages/django/db/models/manager.py first seen with mtime 1658031709.9462397
[17/Jul/2022 04:26:46] DEBUG [django.utils.autoreload:385] File /usr/local/lib/python3.8/site-packages/django/db/backends/base/base.py first seen with mtime 1658031709.9222395
[17/Jul/2022 04:26:46] DEBUG [django.utils.autoreload:385] File /usr/local/lib/python3.8/site-packages/django/db/migrations/migration.py first seen with mtime 1658031709.9382396
[17/Jul/2022 04:26:46] DEBUG [django.utils.autoreload:385] File /usr/local/lib/python3.8/asyncio/futures.py first seen with mtime 1657629598.0
[17/Jul/2022 04:26:46] DEBUG [django.utils.autoreload:385] File /usr/local/lib/python3.8/site-packages/django/views/i18n.py first seen with mtime 1658031710.0082397
[17/Jul/2022 04:26:46] DEBUG [django.utils.autoreload:385] File /usr/local/lib/python3.8/json/scanner.py first seen with mtime 1657629599.0
[17/Jul/2022 04:26:46] DEBUG [django.utils.autoreload:385] File /usr/local/lib/python3.8/site-packages/sqlparse/engine/grouping.py first seen with mtime 1658031708.7262397
[17/Jul/2022 04:26:46] DEBUG [django.utils.autoreload:385] File /usr/local/lib/python3.8/xml/dom/minicompat.py first seen with mtime 1657629599.0
[17/Jul/2022 04:26:46] DEBUG [django.utils.autoreload:385] File /usr/local/lib/python3.8/site-packages/django/template/loaders/app_directories.py first seen with mtime 1658031709.9882395
[17/Jul/2022 04:26:46] DEBUG [django.utils.autoreload:385] File /usr/local/lib/python3.8/site-packages/django/template/utils.py first seen with mtime 1658031709.9862397
[17/Jul/2022 04:26:46] DEBUG [django.utils.autoreload:385] File /usr/local/lib/python3.8/site-packages/django/template/loader.py first seen with mtime 1658031709.9852397
[17/Jul/2022 04:26:46] DEBUG [django.utils.autoreload:385] File /usr/local/lib/python3.8/subprocess.py first seen with mtime 1657629597.0
[17/Jul/2022 04:26:46] DEBUG [django.utils.autoreload:385] File /usr/local/lib/python3.8/concurrent/futures/_base.py first seen with mtime 1657629598.0
[17/Jul/2022 04:26:46] DEBUG [django.utils.autoreload:385] File /usr/local/lib/python3.8/email/feedparser.py first seen with mtime 1657629599.0
[17/Jul/2022 04:26:46] DEBUG [django.utils.autoreload:385] File /usr/local/lib/python3.8/lib-dynload/_posixsubprocess.cpython-38-x86_64-linux-gnu.so first seen with mtime 1657629581.0
[17/Jul/2022 04:26:46] DEBUG [django.utils.autoreload:385] File /usr/local/lib/python3.8/urllib/error.py first seen with mtime 1657629599.0
[17/Jul/2022 04:26:46] DEBUG [django.utils.autoreload:385] File /usr/local/lib/python3.8/site-packages/django/db/models/sql/where.py first seen with mtime 1658031709.9562397
[17/Jul/2022 04:26:46] DEBUG [django.utils.autoreload:385] File /usr/local/lib/python3.8/email/errors.py first seen with mtime 1657629599.0
[17/Jul/2022 04:26:46] DEBUG [django.utils.autoreload:385] File /usr/local/lib/python3.8/site-packages/sqlparse/filters/others.py first seen with mtime 1658031708.7272396
[17/Jul/2022 04:26:46] DEBUG [django.utils.autoreload:385] File /usr/local/lib/python3.8/lib-dynload/_heapq.cpython-38-x86_64-linux-gnu.so first seen with mtime 1657629578.0
[17/Jul/2022 04:26:46] DEBUG [django.utils.autoreload:385] File /usr/local/lib/python3.8/xml/dom/__init__.py first seen with mtime 1657629599.0
[17/Jul/2022 04:26:46] DEBUG [django.utils.autoreload:385] File /usr/local/lib/python3.8/__future__.py first seen with mtime 1657629597.0
[17/Jul/2022 04:26:46] DEBUG [django.utils.autoreload:385] File /usr/local/lib/python3.8/site-packages/django/apps/config.py first seen with mtime 1658031708.9972396
[17/Jul/2022 04:26:46] DEBUG [django.utils.autoreload:385] File /usr/local/lib/python3.8/cgi.py first seen with mtime 1657629597.0
[17/Jul/2022 04:26:46] DEBUG [django.utils.autoreload:385] File /usr/local/lib/python3.8/unittest/signals.py first seen with mtime 1657629599.0
[17/Jul/2022 04:26:46] DEBUG [django.utils.autoreload:385] File /usr/local/lib/python3.8/site-packages/django/utils/safestring.py first seen with mtime 1658031710.0032396
[17/Jul/2022 04:26:46] DEBUG [django.utils.autoreload:385] File /usr/local/lib/python3.8/site-packages/django/__init__.py first seen with mtime 1658031708.9972396
[17/Jul/2022 04:26:46] DEBUG [django.utils.autoreload:385] File /usr/local/lib/python3.8/site-packages/django/db/models/aggregates.py first seen with mtime 1658031709.9412396
[17/Jul/2022 04:26:46] DEBUG [django.utils.autoreload:385] File /usr/local/lib/python3.8/bz2.py first seen with mtime 1657629597.0
[17/Jul/2022 04:26:46] DEBUG [django.utils.autoreload:385] File /usr/local/lib/python3.8/encodings/latin_1.py first seen with mtime 1657629599.0
[17/Jul/2022 04:26:46] DEBUG [django.utils.autoreload:385] File /usr/local/lib/python3.8/site-packages/django/contrib/admin/options.py first seen with mtime 1658031709.1192396
[17/Jul/2022 04:26:46] DEBUG [django.utils.autoreload:385] File /usr/local/lib/python3.8/site-packages/sqlparse/sql.py first seen with mtime 1658031708.7252398
[17/Jul/2022 04:26:46] DEBUG [django.utils.autoreload:385] File /usr/local/lib/python3.8/site-packages/django/conf/locale/__init__.py first seen with mtime 1658031709.0002396
[17/Jul/2022 04:26:46] DEBUG [django.utils.autoreload:385] File /usr/local/lib/python3.8/site-packages/django/contrib/staticfiles/management/commands/__init__.py first seen with mtime 1658031709.8932397
[17/Jul/2022 04:26:46] DEBUG [django.utils.autoreload:385] File /usr/local/lib/python3.8/site-packages/asgiref/local.py first seen with mtime 1658031708.8872397
[17/Jul/2022 04:26:46] DEBUG [django.utils.autoreload:385] File /usr/local/lib/python3.8/site-packages/django/template/exceptions.py first seen with mtime 1658031709.9842396
[17/Jul/2022 04:26:46] DEBUG [django.utils.autoreload:385] File /usr/local/lib/python3.8/site-packages/asgiref/__init__.py first seen with mtime 1658031708.8872397
[17/Jul/2022 04:26:46] DEBUG [django.utils.autoreload:385] File /usr/local/lib/python3.8/site-packages/django/views/static.py first seen with mtime 1658031710.0082397
[17/Jul/2022 04:26:46] DEBUG [django.utils.autoreload:385] File /usr/local/lib/python3.8/site-packages/django/template/base.py first seen with mtime 1658031709.9832397
[17/Jul/2022 04:26:46] DEBUG [django.utils.autoreload:385] File /usr/local/lib/python3.8/site-packages/django/utils/itercompat.py first seen with mtime 1658031710.0012395
[17/Jul/2022 04:26:46] DEBUG [django.utils.autoreload:385] File /usr/local/lib/python3.8/site-packages/django/contrib/messages/__init__.py first seen with mtime 1658031709.6802397
[17/Jul/2022 04:26:46] DEBUG [django.utils.autoreload:385] File /usr/local/lib/python3.8/site-packages/django/contrib/admin/templatetags/__init__.py first seen with mtime 1658031709.2902396
[17/Jul/2022 04:26:46] DEBUG [django.utils.autoreload:385] File /usr/local/lib/python3.8/site-packages/django/db/migrations/operations/models.py first seen with mtime 1658031709.9412396
[17/Jul/2022 04:26:46] DEBUG [django.utils.autoreload:385] File /usr/local/lib/python3.8/site-packages/django/forms/fields.py first seen with mtime 1658031709.9582396
[17/Jul/2022 04:26:46] DEBUG [django.utils.autoreload:385] File /usr/local/lib/python3.8/tokenize.py first seen with mtime 1657629597.0
[17/Jul/2022 04:26:46] DEBUG [django.utils.autoreload:385] File /usr/local/lib/python3.8/site-packages/django/core/management/base.py first seen with mtime 1658031709.9102397
[17/Jul/2022 04:26:46] DEBUG [django.utils.autoreload:385] File /usr/local/lib/python3.8/copyreg.py first seen with mtime 1657629597.0
[17/Jul/2022 04:26:46] DEBUG [django.utils.autoreload:385] File /usr/local/lib/python3.8/email/__init__.py first seen with mtime 1657629599.0
[17/Jul/2022 04:26:46] DEBUG [django.utils.autoreload:385] File /usr/local/lib/python3.8/site-packages/django/db/migrations/utils.py first seen with mtime 1658031709.9392397
[17/Jul/2022 04:26:46] DEBUG [django.utils.autoreload:385] File /usr/local/lib/python3.8/site-packages/django/db/backends/base/creation.py first seen with mtime 1658031709.9232397
[17/Jul/2022 04:26:46] DEBUG [django.utils.autoreload:385] File /usr/local/lib/python3.8/site-packages/django/contrib/admin/views/main.py first seen with mtime 1658031709.2922397
[17/Jul/2022 04:26:46] DEBUG [django.utils.autoreload:385] File /usr/local/lib/python3.8/site-packages/django/core/signals.py first seen with mtime 1658031709.8962395
[17/Jul/2022 04:26:46] DEBUG [django.utils.autoreload:385] File /usr/local/lib/python3.8/site-packages/django/db/migrations/loader.py first seen with mtime 1658031709.9372396
[17/Jul/2022 04:26:46] DEBUG [django.utils.autoreload:385] File /usr/local/lib/python3.8/email/mime/nonmultipart.py first seen with mtime 1657629599.0
[17/Jul/2022 04:26:46] DEBUG [django.utils.autoreload:385] File /usr/local/lib/python3.8/site-packages/django/utils/timesince.py first seen with mtime 1658031710.0042396
[17/Jul/2022 04:26:46] DEBUG [django.utils.autoreload:385] File /usr/local/lib/python3.8/site-packages/django/db/backends/sqlite3/__init__.py first seen with mtime 1658031709.9332397
[17/Jul/2022 04:26:46] DEBUG [django.utils.autoreload:385] File /usr/local/lib/python3.8/site-packages/django/contrib/admin/templatetags/admin_list.py first seen with mtime 1658031709.2902396
[17/Jul/2022 04:26:46] DEBUG [django.utils.autoreload:385] File /usr/local/lib/python3.8/site-packages/django/contrib/admin/widgets.py first seen with mtime 1658031709.1202397
[17/Jul/2022 04:26:46] DEBUG [django.utils.autoreload:385] File /usr/local/lib/python3.8/site-packages/django/core/checks/database.py first seen with mtime 1658031709.9002397
[17/Jul/2022 04:26:46] DEBUG [django.utils.autoreload:385] File /usr/local/lib/python3.8/site-packages/django/contrib/admin/templatetags/admin_urls.py first seen with mtime 1658031709.2902396
[17/Jul/2022 04:26:46] DEBUG [django.utils.autoreload:385] File /usr/local/lib/python3.8/site-packages/django/core/management/commands/__init__.py first seen with mtime 1658031709.9112396
[17/Jul/2022 04:26:46] DEBUG [django.utils.autoreload:385] File /usr/local/lib/python3.8/email/message.py first seen with mtime 1657629599.0
[17/Jul/2022 04:26:46] DEBUG [django.utils.autoreload:385] File /usr/local/lib/python3.8/asyncio/locks.py first seen with mtime 1657629598.0
[17/Jul/2022 04:26:46] DEBUG [django.utils.autoreload:385] File /usr/local/lib/python3.8/site-packages/django/urls/resolvers.py first seen with mtime 1658031709.9942396
[17/Jul/2022 04:26:46] DEBUG [django.utils.autoreload:385] File /app/base/urls.py first seen with mtime 1657453758.3368747
[17/Jul/2022 04:26:46] DEBUG [django.utils.autoreload:385] File /usr/local/lib/python3.8/asyncio/runners.py first seen with mtime 1657629598.0
[17/Jul/2022 04:26:46] DEBUG [django.utils.autoreload:385] File /usr/local/lib/python3.8/unittest/result.py first seen with mtime 1657629599.0
[17/Jul/2022 04:26:46] DEBUG [django.utils.autoreload:385] File /usr/local/lib/python3.8/site-packages/sqlparse/__init__.py first seen with mtime 1658031708.7232397
[17/Jul/2022 04:26:46] DEBUG [django.utils.autoreload:385] File /usr/local/lib/python3.8/site-packages/backports/zoneinfo/_tzpath.py first seen with mtime 1658031708.8712397
[17/Jul/2022 04:26:46] DEBUG [django.utils.autoreload:385] File /usr/local/lib/python3.8/site-packages/django/template/loaders/__init__.py first seen with mtime 1658031709.9872396
[17/Jul/2022 04:26:46] DEBUG [django.utils.autoreload:385] File /usr/local/lib/python3.8/site-packages/django/db/models/functions/comparison.py first seen with mtime 1658031709.9522395
[17/Jul/2022 04:26:46] DEBUG [django.utils.autoreload:385] File /usr/local/lib/python3.8/xml/dom/minidom.py first seen with mtime 1657629599.0
[17/Jul/2022 04:26:46] DEBUG [django.utils.autoreload:385] File /usr/local/lib/python3.8/site-packages/django/db/migrations/operations/base.py first seen with mtime 1658031709.9402397
[17/Jul/2022 04:26:46] DEBUG [django.utils.autoreload:385] File /usr/local/lib/python3.8/site-packages/django/db/models/query_utils.py first seen with mtime 1658031709.9482396
[17/Jul/2022 04:26:46] DEBUG [django.utils.autoreload:385] File /usr/local/lib/python3.8/asyncio/coroutines.py first seen with mtime 1657629598.0
[17/Jul/2022 04:26:46] DEBUG [django.utils.autoreload:385] File /usr/local/lib/python3.8/ctypes/__init__.py first seen with mtime 1657629599.0
[17/Jul/2022 04:26:46] DEBUG [django.utils.autoreload:385] File /usr/local/lib/python3.8/site-packages/django/forms/renderers.py first seen with mtime 1658031709.9592397
[17/Jul/2022 04:26:46] DEBUG [django.utils.autoreload:385] File /usr/local/lib/python3.8/site-packages/sqlparse/engine/statement_splitter.py first seen with mtime 1658031708.7262397
[17/Jul/2022 04:26:46] DEBUG [django.utils.autoreload:385] File /usr/local/lib/python3.8/site-packages/django/db/models/indexes.py first seen with mtime 1658031709.9462397
[17/Jul/2022 04:26:46] DEBUG [django.utils.autoreload:385] File /usr/local/lib/python3.8/site-packages/django/db/migrations/exceptions.py first seen with mtime 1658031709.9362397
[17/Jul/2022 04:26:46] DEBUG [django.utils.autoreload:385] File /usr/local/lib/python3.8/email/_encoded_words.py first seen with mtime 1657629599.0
[17/Jul/2022 04:26:46] DEBUG [django.utils.autoreload:385] File /usr/local/lib/python3.8/asyncio/__init__.py first seen with mtime 1657629598.0
[17/Jul/2022 04:26:46] DEBUG [django.utils.autoreload:385] File /usr/local/lib/python3.8/reprlib.py first seen with mtime 1657629597.0
[17/Jul/2022 04:26:46] DEBUG [django.utils.autoreload:385] File /usr/local/lib/python3.8/site-packages/django/db/models/sql/subqueries.py first seen with mtime 1658031709.9562397
[17/Jul/2022 04:26:46] DEBUG [django.utils.autoreload:385] File /usr/local/lib/python3.8/site-packages/django/contrib/auth/decorators.py first seen with mtime 1658031709.3602397
